code,name,gender,function,category,country_code,country,country_full,disciplines,events
1891667,SHIOTA Yoshinori,Male,Head Coach,C,JPN,Japan,Japan,Water Polo,Men
1891684,KAWAI Mayo,Female,Coach,C,JPN,Japan,Japan,Artistic Swimming,
1891686,KASHIMA Tomoyo,Female,Coach,C,JPN,Japan,Japan,Artistic Swimming,Team
1891688,NAKAJIMA Takako,Female,Coach,C,JPN,Japan,Japan,Artistic Swimming,Team
1892047,KAPADZE Timur,Male,Head Coach,C,UZB,Uzbekistan,Uzbekistan,Football,Men
1892050,CHIGODAEV Sergey,Male,Assistant Coach,C,UZB,Uzbekistan,Uzbekistan,Football,
1893216,GILLE Guillaume,Male,Head Coach,C,FRA,France,France,Handball,Men
1893217,MATHE Erick,Male,Assistant Coach,C,FRA,France,France,Handball,Men
1893323,ALONSO TAPIA Rosendo,Male,Coach,C,FRA,France,France,Taekwondo,
1893324,ALONSO TAPIA Gulsah,Female,Coach,C,FRA,France,France,Taekwondo,
1893325,JUNG Woomin,Male,Coach,C,FRA,France,France,Taekwondo,
1894657,WILLE Jonas,Male,Head Coach,C,NOR,Norway,Norway,Handball,Men
1894659,EGE Steinar,Male,Assistant Coach,C,NOR,Norway,Norway,Handball,Men
1894661,BOQUIST Martin,Male,Assistant Coach,C,NOR,Norway,Norway,Handball,Men
1894662,OLSSON Mats,Male,Assistant Coach,C,NOR,Norway,Norway,Handball,Women
1894663,HERGEIRSSON Thorir,Male,Head Coach,C,NOR,Norway,Norway,Handball,Women
1894666,LARSEN Tonje,Female,Assistant Coach,C,NOR,Norway,Norway,Handball,Women
1894756,JOERGENSEN Michael,Male,Coach,C,NOR,Norway,Norway,Taekwondo,
1895149,DRASOCZKY Imre,Male,Coach,C,HUN,Hungary,Hungary,Artistic Gymnastics,
1895269,BRUUN Michael,Male,Assistant Coach,C,DEN,Denmark,Denmark,Handball,Men
1895270,JOERGENSEN Lars,Male,Assistant Coach,C,DEN,Denmark,Denmark,Handball,Women
1895275,KRONBORG Henrik,Male,Assistant Coach,C,DEN,Denmark,Denmark,Handball,Men
1895276,JACOBSEN Nikolaj,Male,Head Coach,C,DEN,Denmark,Denmark,Handball,Men
1895279,JENSEN Jesper,Male,Head Coach,C,DEN,Denmark,Denmark,Handball,Women
1895408,SOYEZ Frederic,Male,Head Coach,C,FRA,France,France,Hockey,
1895409,SALA Ramon,Male,Assistant Coach,C,FRA,France,France,Hockey,
1895410,LOMBI Jorge,Male,Assistant Coach,C,FRA,France,France,Hockey,
1895517,SZUCS Robert,Male,Coach,C,HUN,Hungary,Hungary,Artistic Gymnastics,
1895520,TRENKA Janos,Male,Coach,C,HUN,Hungary,Hungary,Artistic Gymnastics,
1896158,HARVEY Mike,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,
1896160,MAIZEROI Torann,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,
1896164,MILLER Nelson,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,
1896167,STAMPER Martin,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,
1896246,POLJAKOVA Shanna,Female,Coach,C,GER,Germany,Germany,Artistic Gymnastics,
1896251,BELENKI Valeri,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,
1896252,CATANOIU Grigore,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,
1896253,BRYLOK Hubert,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,
1896258,TEMME Kay,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,
1896262,PFEFFER Camilla,Female,Coach,C,GER,Germany,Germany,Rhythmic Gymnastics,
1896275,RASKINA Yuliya,Female,Coach,C,GER,Germany,Germany,Rhythmic Gymnastics,
1896279,CAMICIOTTI Giacomo,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,
1896290,DUNAVSKA MINEKOVA Kameliya,Female,Coach,C,GER,Germany,Germany,Rhythmic Gymnastics,
1896562,PARECKI Antoni Jerzy,Male,Assistant Coach,C,JPN,Japan,Japan,Handball,Men
1896698,SNYMAN Philip,Male,Head Coach,C,RSA,South Africa,South Africa,Rugby Sevens,Men
1896700,LUCKAN Ghafoer,Male,Assistant Coach,C,RSA,South Africa,South Africa,Rugby Sevens,Men
1897091,GONZALEZ NUNEZ Arlen,Male,Coach,C,CUB,Cuba,Cuba,Taekwondo,
1897234,SHARABI Yechiam,Male,Coach,C,ISR,Israel,Israel,Taekwondo,
1897292,BLECHER SIDOROVA Svetlana,Female,Coach,C,ISR,Israel,Israel,Artistic Swimming,Duet
1897395,ABDELRAHMAN Osama,Male,Coach,C,EGY,Egypt,Egypt,Taekwondo,
1897398,YOUSSEF Mohamed,Male,Coach,C,EGY,Egypt,Egypt,Taekwondo,
1897518,ZAITSEVA Olesia,Female,Coach,C,UKR,Ukraine,Ukraine,Artistic Swimming,Duet
1897547,SARTYNSKYI Gennadii,Male,Coach,C,UKR,Ukraine,Ukraine,Artistic Gymnastics,
1897548,GORBACHEVA Iryna,Female,Coach,C,UKR,Ukraine,Ukraine,Artistic Gymnastics,
1897550,KAIUKOVA Iuliia,Female,Coach,C,UKR,Ukraine,Ukraine,Artistic Gymnastics,
1897590,DERYUGINA Iryna,Female,Coach,C,UKR,Ukraine,Ukraine,Rhythmic Gymnastics,
1897591,BLOKHINA Iryna,Female,Coach,C,UKR,Ukraine,Ukraine,Rhythmic Gymnastics,
1897592,KARDASH Maryna,Female,Coach,C,UKR,Ukraine,Ukraine,Rhythmic Gymnastics,
1897594,VASYLIEVA Marharyta,Female,Coach,C,UKR,Ukraine,Ukraine,Rhythmic Gymnastics,
1897752,KHOLOD Maryna,Female,Coach,C,NZL,New Zealand,New Zealand,Artistic Swimming,Duet
1897775,RA Sanghyun,Male,Coach,C,FIJ,Fiji,Fiji,Taekwondo,
1897904,KIM Hyou Mi,Female,Coach,C,KOR,Korea,Republic of Korea,Artistic Swimming,Duet
1898398,ROSILLO ATENCIA Jose Antonio,Male,Coach,C,NOR,Norway,Norway,Taekwondo,
1898540,LAI Yawen,Female,Assistant Coach,C,CHN,China,People's Republic of China,Volleyball,Women
1898944,HERBERT Gordie,Male,Coach,C,GER,Germany,Germany,Basketball,Men
1898950,THOMAIDIS Lisa,Female,Coach,C,GER,Germany,Germany,Basketball,Women
1898951,PARSONS Sidney,Female,Assistant Coach,C,GER,Germany,Germany,Basketball,Women
1898953,MEADOWS Clarissa,Female,Assistant Coach,C,GER,Germany,Germany,Basketball,Women
1898956,THUSS Anne,Female,Coach,C,GER,Germany,Germany,Basketball,
1898959,PERWAS Klaus,Male,Assistant Coach,C,GER,Germany,Germany,Basketball,Men
1898960,BRIELMEIER Bret,Male,Coach,C,GER,Germany,Germany,Basketball,
1898962,HERBERT Daniel,Male,Assistant Coach,C,GER,Germany,Germany,Basketball,Men
1899054,REVINGTON Paul,Male,Head Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899056,BROWNE Kwan,Male,Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899057,GLYNN Katie,Female,Assistant Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899058,HICKMAN Mark,Male,Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899060,PAUL Jody,Male,Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899061,RALPH David,Male,Head Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899062,SIEBEN Craig,Male,Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899085,GRESKOWIAK Arne,Male,Coach,C,GER,Germany,Germany,Basketball,
1899175,HOLGUIN Ramon,Male,Coach,C,DOM,Dominican Republic,Dominican Republic,Artistic Gymnastics,
1899285,WUDTKE Erik,Male,Assistant Coach,C,GER,Germany,Germany,Handball,Men
1899286,BEPPLER Jochen,Male,Assistant Coach,C,GER,Germany,Germany,Handball,Women
1899289,ANDERSSON Mattias,Male,Assistant Coach,C,GER,Germany,Germany,Handball,Men
1899294,GISLASON Alfred,Male,Head Coach,C,GER,Germany,Germany,Handball,Men
1899296,GAUGISCH Markus,Male,Head Coach,C,GER,Germany,Germany,Handball,Women
1899298,JANKOVIC Jasmina,Female,Assistant Coach,C,GER,Germany,Germany,Handball,Women
1900728,HENRY Thierry,Male,Head Coach,C,FRA,France,France,Football,Men
1900729,BATICLE Gerald,Male,Assistant Coach,C,FRA,France,France,Football,Men
1900730,CLICHY Gael,Male,Assistant Coach,C,FRA,France,France,Football,Men
1900731,JANOT Jeremie,Male,Goalkeeper Coach,C,FRA,France,France,Football,Men
1901253,PEREIRA BRAVO Joao,Male,Assistant Coach,C,CAN,Canada,Canada,Volleyball,Men
1901258,SAMMELVUO Tuomas,Male,Head Coach,C,CAN,Canada,Canada,Volleyball,Men
1901261,HAWKINS Michael,Male,Assistant Coach,C,CAN,Canada,Canada,Volleyball,Men
1901805,ZHENG Wei,Female,Coach,C,CHN,China,People's Republic of China,Basketball,Women
1901806,JIA Nan,Male,Coach,C,CHN,China,People's Republic of China,Basketball,
1901810,PARK Myungsoo,Male,Assistant Coach,C,CHN,China,People's Republic of China,Basketball,
1901818,RUPEREZ Cesar,Male,Assistant Coach,C,CHN,China,People's Republic of China,Basketball,Women
1901832,USUI Tomohiro,Male,Coach,C,JPN,Japan,Japan,Basketball,
1901835,KONNO Kakeru,Male,Assistant Coach,C,JPN,Japan,Japan,Basketball,
1901836,SUZUKI Yoshikazu,Male,Assistant Coach,C,JPN,Japan,Japan,Basketball,Women
1901839,ONZUKA Toru,Male,Coach,C,JPN,Japan,Japan,Basketball,Women
1901846,SASSA Norio,Male,Coach,C,JPN,Japan,Japan,Basketball,
1901849,GAINES Corey,Male,Assistant Coach,C,JPN,Japan,Japan,Basketball,Men
1901850,HOVASSE Tom,Male,Coach,C,JPN,Japan,Japan,Basketball,Men
1901851,KATSUHISA Geoffrey,Male,Assistant Coach,C,JPN,Japan,Japan,Basketball,
1902695,CHOI Chatchai,Male,Coach,C,THA,Thailand,Thailand,Taekwondo,
1902795,SONKHAM Chanatip,Female,Coach,C,THA,Thailand,Thailand,Taekwondo,
1902914,RUSEK Pawel,Male,Assistant Coach,C,POL,Poland,Poland,Volleyball,Men
1902918,GRBIC Nikola,Male,Head Coach,C,POL,Poland,Poland,Volleyball,Men
1902919,SWACZYNA Adam,Male,Assistant Coach,C,POL,Poland,Poland,Volleyball,Men
